texts,Prediction
ไม่มี gpu ในตัว ทำไมต้องกินพลังงานเท่ากันกับรุ่นที่มี gpu แล้วถ้ากินพลังงานเท่ากันมีอะไรดีกว่าบ้าง นอกจากราคา ?,neg
ยังกล้าเข็นออกมาขายอีกรึเขาไป7นาโนเมตรกันแล้ว,neg
ได้รับ Buff จาก Microsoft 1ea,neu
ข่าวดีเลย,pos
วันที่รอคอยยย,neu
ทำมาแข่งกับ Samsung แต่ตอนนี้ลดราคาเหลือไม่ถึง 3 หมื่นบาทแล้ว ซัมซุงคุ้มกว่ามากๆ,neg
รูปล่าง เอาสองจอต่อทางตั้ง ยังงี้ใช้จอ 8K ตัวเดียวจะดีกว่ามั้ยเนี่ย,neg
ชอบจัง จอในฝันเลย ทุกวันนี้ทำงานต่อ 3 จอ Gap เกะกะสายตามากๆ,pos
3แสน!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,neu
**ThinkPad X1 Carbon (7th Gen) กับ **Thinkpad X1 Yoga (4th Gen) เหมือนไม่ได้ใส่แท็กปิดท้ายครับเลยไม่ใช่ตัวเน้น,neu
เอา thinkpad x1 tablet เข้ามาขายหน่อยครับ (i7 ram16 ต่อ sim ได้),neu
ไม่มีตัวใหม่มาแทน X280 หรือ อยากได้ RJ45 ใน X270 แต่อยากให้บางเท่า X280 ขอ X290 ทำมาเถอะ กราบ,neu
ดีๆ ช่วยให้ขนส่งง่ายขึ้นเยอะเลย จอใหญ่มากก็ไม่ต้องทุบผนังห้องเพื่อให้เข้าได้แล้ว อย่างสมัยก่อน เศรษฐีไทยสั่งจอ 100-200 นิ้ว รุ่นทดสอบมาจากญี่ปุ่น ก็ต้องทุบผนังห้องนอนชั้นสอง เพื่อให้เครนยกเข้าห้องนอนได้จอม้วนได้ อารมณ์เหมือนเครื่องฉายภาพ แต่ชัดกว่าเยอะ อนาคตคงมาแทนที่ในหลายงาน,pos
ดีเลย ขนย้ายสะดวกขึ้นเยอะ,pos
ราคาในไทยน่าจะ 5 แสน++,neu
ผมชอบตัวนี้สุดละ จัดห้องนั่งเล่นคลีน ๆ ได้เลย แต่เงินไม่มีจ่ายค่าทีวีเนี่ยสิประเด็น,pos
ประเด็นนี้เป็นกับสินค้าทุกประเภทแน่นอลครัฟ,neu
แสดงว่าเกี่ยวกับ HW มากกว่าหรอ ถ้าทำบน Xs / Xr ไม่ได้,neg
บางทีอาจจะโดนรัฐบาลจีนห้ามไว้ เจอบ่อยมากเวลาคนมาจากจีนแล้วห้ามบันทึก หรือโพสอะไรก็ตามที่เกี่ยวกับเรื่องที่เขามาพูด ไม่งั้นอาจจะกลับจีนแล้วจะมีปัญหา,neg
จีนคงใช้เจาะระบบนี้,neg
ไม่ให้พูดเพราะ จะเก็บไว้hackเองแน่นอน,neg
อ่าว iPhone X ในมือสั่นเลย ทำได้เฉพาะใน iPhone X แต่กับ Xs ไม่ได้,neu
ไม่แน่หรอก มีคนเปิด แล้วต้องมีคนตามเป็น พรวนแน่,neu
ติดปืนกลต่อต้านอากาศยานรอบสนามบินไปเลย !,neu
เอา SAM ไปเลยดีกว่าครัช,neu
น่าจะเป็นข่าวนี้คือใช้การแจมสัญญาณ,neu
พวกเล่นโดรนนี่เขาไม่รุ้สึกผิดกันเลยเหรอครับเนี่ย,neu
สงสัยว่าจับกันไม่ได้ หรือว่าเขาไม่ได้มาpost รูปอวดกันใน FB แบบของไทย ที่โดนตามง่ายๆแล้วโดนปรับหนักจนเข็ดกันไป,neg
คงเพราะว่ามันโล่ง กว้าง เหมาะที่จะเล่นโดรนเพราะไม่เสี่ยงที่จะไปชนอะไรตก,neu
พูดถึงว่าถ้าไม่ป้องก้ันไว้ เกิดผู้ก่อการร้ายผูกระเบิดมากับโดรนนี่ก็น่ากลัวนะ,neg
เลเซอร์ที่ชอบส่องนักบินยังพอตามตัวได้ แต่พอเป็นโดรนตามตัวคนปล่อยยากมาก เว้นแต่จะเอารถโมบายมาไล่จับสัญญาณถึงจะเจอ,neu
สงสัยว่าระบบป้องกันที่ว่า มันทำงานอย่างไรเหรอครับ? ปล่อยสัญญาณรบกวนไม่ให้ควบคุมโดรนได้ หรือว่าใช้แบบยิงให้ตกเลย หรือยังไงครับ?,neu
ระบบที่อังกฤษจะเอามาใช้เป็นแบบรบกวนอย่างเดียวครับ มีบริษัทที่ผลิตระบบป้องกันแบบยิงให้ร่วงเหมือนกันแต่ตามข่าวคือไม่น่าจะเอามาใช้ครับ,neg
ในชีวิตจริงได้หากได้ใช้ refresh rate 60 ก็พอละตาไม่กระพริบมากเท่าไหร่ แต่ถ้าจะหาแบบที่มากกว่านั้นแพง ไม่คุ้มที่จะซื้อ,neg
คนที่ซื้อรุ่นที่ต้องเลือก2ค่ายไปแล้วบางคนนี่เงิบกันทีเดียว ซื้อแพงกว่าเปล่าๆเลย,pos
เป็นอะไรที่คิดว่าซักวัน NVIDIA จะต้องยอมทำออกมารองรับ แต่ไม่คิดว่าจะไวขนาดนี้ แก้ไข: NVIDIA ประกาศแล้วว่าจอที่รองรับ AMD FreeSync/VESA Adaptive Sync รุ่นอื่นๆ ที่ไม่ใช่ 12 รุ่นในข่าวจะสามารถเปิดใช้งาน G-Sync ได้ด้วย แต่ต้องเปิดเอง และไม่รับประกันว่าจะใช้งานได้เท่ากับจอ 12 รุ่นที่ว่าครับ,neu
nvidia จอมกั๊ก ไล่มาตั้งแต่สมัย physx,pos
ซื้อมาแพงน่ะครับ (ฮา),neu
ดีงาม ไม่ต้องไปซื้อจอ G-SYNC แพงๆ แล้ว,neu
ในทางกลับกัน คนที่ซื้อจอ G-Sync ไปแล้ว จะเอามาใช้กับ การ์ดจอ AMD Freesync ได้ไหมครับ?,neu
อนากได้นะแต่คาดว่าราคาน่าจะ 30000+,neu
เกมใหม่ๆ full hd การ์ดจอ desktop ตัว top ดันให้เกิน 120 นิ่งๆยังยากเลยนะ,neu
ระหว่าง 144 Hz กับ 240 Hz นี่ตาแยกออกด้วยเหรอ แต่ช่วงหลังๆ HP Omen ทำราคามาดีมาก สเปกจัดเต็ม แต่ราคาไม่แพง อย่างรุ่นที่แล้วได้ GTX 1060 มี Thunderbolt 3 จอ IPS 144 Hz ราคาประมาณ 4 หมื่นเอง,neg
ภาพเคลื่อนไหวกับภาพนิ่งไม่เหมือนกันนะครับ มองนิ่งๆ อาจจะแยกไม่ออก ผมก็อยากลองเหมือนกันนะแต่ยังไม่เคยเจอจอ 200+ Hz เลย 😢 จากที่ใช้อยู่ตอนนี้ผมพบว่า 144 Hz ไม่พอเหมือนกันครับคือปกติมันลื่นกว่า 60 Hz มากแต่ไม่ใช่ตลอดเวลา แบบเวลาเล็งเป้าเคลื่อนที่พบว่ามันไม่ลื่นพอเห็นเป้าหมายวาร์ปดึ๊กดึ๊กดึ๊กเลย คงเป็นตอนที่เค้นสมองมาประมวลผลมากเกินไป หรือจริงๆ ตอนเลื่อนเมาส์ก็เห็นชัดแล้วนะครับว่า 144 Hz มันไม่ลื่น 😅,neg
แปลว่า สมองของคุณกำลังถูกเทรนให้ รับรู้เร็วขึ้นเรื่อยๆครับ เพราะ คนทั่วไป อาจจะไม่สามารถแยกออกได้ในเวลาสั้นๆ (ต้องใช้เวลาเพ่งมองนานๆ บ่อยๆ ถึงจะมองเห็นการกระพริบของจอ) เพราะ เมื่อก่อนผมดูไม่ออกเลยครับ 60 144 ดูไม่ออกเลยต่างกันยังไง แต่พอ ได้ใช้ 144 สองสามเดือน เริ่มแยกได้ว่าจอ 60 มันมีกระพริบด้วย,neu
"การเข้าสู่สิ่งที่ ""มากกว่าปกติ"" ไม่ใช่เรื่องดีครับ ไม่ดีต่อกระเป๋าเงิน ฮาาาาา แต่เอาจริงๆ สิ่งที่ผมแยกออกตอนนี้ไม่ใช่การกระพริบนะครับ (เพราะจอผมก็เป็น flicker-free นะ) แต่เป็นความไม่ต่อเนื่องที่แยกได้ง่ายกว่ากันมากเลยเวลาเจอภาพเคลื่อนไหว",neu
แน่ใจนะครับ ว่าที่เห็นมันวาร์ปไม่ใช่เพราะมันคอขวดที่สเป็คคอมพิวเตอร์,neu
อยากได้ทรูด้วย เหมือน data จาก setting จะมากกว่าแอพ iservice อยู่นิดนึง คาดว่ามือถือนับแบบไม่บีบอัดแต่ค่ายนับแบบบีบอัด,neu
อ่านข่าวได้ 2 ย่อหน้า ลองทำดู อ่าว ไหงไม่มี อ่านจบ อ๋อ ..... สมแล้วที่เป็น คนไทยแปด,neu
ดีนะคือจับมือ,neu
แพ็คใกล้หมดเพราะเน็ตไม่เสถียร แถมต้องหมดกับฟีเจอร์ใหม่อีก,neg
ผมมี package net dtac ยิบย่อยมาก พอแต่ละอันใกล้จะหมดก็ส่ง sms เตือนอยู่นั่นแหละ คือส่งจนไม่รู้ว่าเมื่อไรคือหมดแล้วจริงๆ ไม่มี pack ให้ใช้งานต่อแล้วนะ อยากให้ปรับปรุงตรงนี้ด้วยจัง,neg
ได้มาก่อนประกาศนี้จะออกมาสักอาทิตย์ ยอมรับว่าสะดวกมากกดซื้อแพ็กเกจต่างๆ ได้เลยโดยตรง ไม่ต้องเข้าแอพกดรหัสวุ่นวาย แต่ส่วนสัญญาณนั้น.... (ยิ้ม),pos
ผมไม่ได้ใช้ฟีเจอร์นี้แน่นอน เน็ต 16 GB แต่ละเดือนยังใช้ไม่หมด ไม่ใช่เพราะไม่ค่อยได้เล่นเน็ตนะ แต่เพราะไม่มีความเร็วให้ใช้ youtube สะดุดโคตร ๆ ตอนนี้ออกมาละ สบายใจ,neu
ขัดกับนโยบายของท่านทรัมป์หรือเปล่าเนี่ย ?,neu
ผมว่าต่อให้ขัด แต่ถ้า Elon ดูลู่ทางแล้วคุ้มค่า เขาก็ทำครับ,neu
Elon น่าจะไม่สนใจทรัมป์ เพราะมีโรงงานอยู่ในอเมริกาอยู่แล้ว นี่แค่มาเปิดเพิ่มที่จีน เพื่อขายจีน ขณะเดียวกัน โรงงาน Tesla ใช้หุ่นยนต์เป็นหลัก น่าจะเพิ่มตำแหน่งงานได้ไม่มาก ทรัมป์ก็ไม่น่าจะสน,neg
ใช่ครับเห็นด้วยตามเม้นท์บน ว่าไม่เกี่ยวกัน เพราะสินค้าที่ขายในอเมริกา ก็ผลิตในโรงงานที่อยู่ในอเมริกาอยู่แล้ว,neu
รอคอยรุ่นพวงมาลัยขวา ผลิตส่งมาขายในไทย,neu
เฮ้ย... คือดีอ่ะ...,pos
ที่บ้านยังมาไม่ถึงเล๊ย...,neu
นึกว่า 799 ได้ 200 mbps หลังๆ เน็ตบ้านโปรเงียบเป็นป่าช้าเลย,neu
ซิมจาก unlimited 4Mbps กลายเป็น 10GB ขอผ่านอย่างแรง,neu
ขอผ่านด้วยคนครับ ผมใช้เป็นซิมไว้แทน GPS กับโทรศัพท์เครื่องเก่าในรถ เป็นทั้ง GPS ทั้งเครื่องฟังเพลง ทั้งดูยูทูป 20GB ไม่พอจริง ๆ,neu
กล่องดู youtube ไม่ได้ ลงแอปเพิ่มก็ไม่ได้ ถ้าจะดูต้องใช้กล่องอื่น ตอนนี้เก็บ playbox ลงกล่องรอครบปี แล้วใช้ Mibox ลื่นๆ,neg
ผมเก็บกล่องจนมีการอัพ firmware ครั้งแรก ก็ไม่เปิดขึ้นมาอัพจนเลยเวลาอัพ เปิดมาอีกทีก็อัพไม่ได้ ใช้งานอะไรก็ไม่ค่อย ได้มาเป็นที่ทับกระดาษ จะ airplay ไรนั้นก็เหมือนจะได้แต่ไม่ได้ 55,neg
วันนี้พึ่งมีอัพเดตเพิ่มเบราเซอร์เข้ามาครับดูยูทูปได้แล้ว,neu
โปร Power 4 เมื่อก่อนได้ Sim เน็ต 4G Unlimit 4Mbps ไม่มีแล้วสินะ,neu
10GB ตอเดือน หรือตลอด 1 ปีได้ 10 GB เนี่ย,neu
อยากให้มีโปรแบบนี้แต่ให้เอาเน็ตไปเติมกับลูกค้า serenade แทนบ้าง Home plus นี่ยังกับลูกเมียน้อย -___-,neg
สุดยอด ผมใช้ทั้งเนตทั้งเบอร์ของเจ้านี้,neu
ทรูต้องขยับแล้วล่ะ,neg
ติ่งออกนอกจอ 555,neg
เป็นการคิดนอกกรอบที่แท้ทรู,neu
ค่ายอื่นดูไว้ครับ... แล้วอย่าทำ 55555,neg
ของ notebook ผมว่าทำแบบนี้มันโอเคนะ ไอ้ติ่งที่ยื่นออกมา หลาย ๆ รุ่นก็มีอยู่แล้ว ที่เป็นที่ให้ดึงจอเปิดขึ้นมา เพิ่มขนาดอีกนิด ก็ไม่น่าเป็นอะไร ทำให้เปิดง่ายขึ้นซะอีก,neg
ห้ามตก ห้ามกระแทก ตั้งโต๊ะไว้อย่างเดียวเลย ถนอมยิ่งกว่าเมียอีก ทำแบบนี้,neg
ไม่สวยเลย เหมือนมีอะไรยื่นออกมา,neu
เอาน่า ดีกว่าจอแหว่ง ปล. ผมว่าจอโน้ตบุ๊ก​นี่น่าทำติ่งหยดน้ำไม่ก็ infinity-O มากเลย กินที่นิดเดียวเอง,neg
chamfer ตรง Touchpad น่าจะเข้าท่ามากกว่า ไม่เหมือนอันอื่นที่ fillet ด้วย,neu
ยังหาเอกลักษณ์ ที่จดจำไม่ได้เลย อันที่เคยทำดีอยู่แล้วก็ตัดออกไป เหมือนสุ่มๆดูตลาดยังไงแฮะ,neu
