Human,texts,Prediction
neg,นายๆรู้ยัง twitter มันมี version lite เป็น PWA มันใช้ได้เหมือน app เลย ฉะนั้น ไปใช้ iphone ฟังไม่ขึ้นเท่าไหร่นะ ยิ่งเป็น tech company ด้วยแล้วเนี่ย,neu
neg,คือเอาซิมฮ่องกงใส่เครื่องที่ทำขายต่างประเทศก็ได้ครับ เหตุผลที่ว่ามา ฟังไม่ขึ้นครับ,neg
neg,เหตุผลอ่อนหัดสุดๆ ไม่โปรเลย บราวเซอร์ก็มี หรือว่าไม่รู้ว่ามันทำได้,neg
neu,น่าสนใจว่าทำไมทั้งสองไม่ยอมย้ายซิมการ์ดจากไอโพนมาใส่โทรศัพท์แอนดรอยด์สักเครื่อง,neu
pos,นี่บริษัทมือถือหรือซอมบี้ครับ อึดมาก,neu
neg,แพง,neg
neg,เรือธง สเปคธงเรือ ก็กินเกลือไปครับ,neg
neg,ผลกรรมของการดื้อด้านเอาโลโก้ไว้ข้างหน้า แม้เครื่องจะยาวขอบจะหนาแบบไม่มีเหตุผลก็ตาม เตือนแล้วไม่ฟัง,neg
neg,จำได้ช่วงฮิตๆ ตัวท็อป แต่สเป็ครุ่นรอง แถมราคาก็ขายเท่าเพื่อนๆ อีก,neg
neg,"เคยคิดจะซื้อ แต่ไปหาข้อมูลเจอเรื่อง s-off, s-on แล้วเวียนหัว ก็เลยไม่ซื้อ",neg
neg,"ไปไต้หวันมาเดือนที่แล้ว เจอ Shop HTC พร้อมวางขาย U12 ถึงกับอุทานในใจ ""ยังอยู่อีกเหรอวะ??"" คิดแล้วก็ใจหาย กับแบรนด์ที่เคยชอบมากๆ สมัยก่อน สุดท้ายก็ต้องลาจากเพราะ HTC one M7 เริ่มถูกแบรนด์อื่นทิ้งห่างเรื่องกล้อง",neg
neu,น่าใจหายจริงๆ เป็นยี่ห้อที่เคยชอบมากๆแต่สินค้าเฟลติดๆจนอทบหายไปจากตลาดเลย ผมว่าแกควรขายแบรนด์ทิ้งแล้วเฟดตัวเองไปทำอย่างอื่นดีกว่านะ ดูยังไงก็มือถือคงไม่รุ่งแล้ว แบรนด์ไม่ได้แข็งเหมือนเมื่อก่อนแล้วจะเล่นตลาดบนก็ไม่ไหว จะไปสู้ตลาดกลางกับล่างก็ต้นทุนสู้อาเฮียแผ่นดินใหญ่ไม่ได้ VR ที่เคยจะเป็นแหล่งเงินใหม่ก็ดันกระแสเงียบซะอีก ไม่งั้นก็ขอไปควบรวมกิจการกับ บ.อื่นก็ได้ อย่าง Asus เป็นต้น,neg
pos,HTC นี่ก็ตำนานอยู่นะ ในฐานะคนจุดกระแสแอนดรอย,neu
pos,คราวนี้ค่ายไหนไม่ยอมใส่พอร์ต TB3 มา หมดข้ออ้างแล้วนะ...,neg
pos,รอ จัดคอมปลายปีเลย,pos
neu,รอดู Ryzen จะออกแบบชิป 7 nm ออกมาได้จริง ๆ หรือเปล่า,neu
pos,มีสายฟ้าเวล 3 น่าใช้ขึ้นมาทันที,pos
neu,7nm สงสัยจะสร้างยากแหะ แลไม่ค่อยมีใครไปเลย,neu
pos,ดีๆๆพวก eGPU case จะได้ถูกลงบ้าง,neu
neu,หมด Gen 9 จะขึ้นไรเลขรหัสรุ่นยังไงต่อเนี่ย,neu
neg,เขาไป 7 นาโน แล้ว เพ่ เต่าแบบนี้,neg
neg,ไม่มี gpu ในตัว ทำไมต้องกินพลังงานเท่ากันกับรุ่นที่มี gpu แล้วถ้ากินพลังงานเท่ากันมีอะไรดีกว่าบ้าง นอกจากราคา ?,neg
neg,ยังกล้าเข็นออกมาขายอีกรึเขาไป7นาโนเมตรกันแล้ว,neg
neu,ได้รับ Buff จาก Microsoft 1ea,neu
pos,ข่าวดีเลย,pos
pos,วันที่รอคอยยย,neu
neg,ทำมาแข่งกับ Samsung แต่ตอนนี้ลดราคาเหลือไม่ถึง 3 หมื่นบาทแล้ว ซัมซุงคุ้มกว่ามากๆ,neg
neg,รูปล่าง เอาสองจอต่อทางตั้ง ยังงี้ใช้จอ 8K ตัวเดียวจะดีกว่ามั้ยเนี่ย,neg
pos,ชอบจัง จอในฝันเลย ทุกวันนี้ทำงานต่อ 3 จอ Gap เกะกะสายตามากๆ,pos
neg,3แสน!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,neu
neu,**ThinkPad X1 Carbon (7th Gen) กับ **Thinkpad X1 Yoga (4th Gen) เหมือนไม่ได้ใส่แท็กปิดท้ายครับเลยไม่ใช่ตัวเน้น,neu
neu,เอา thinkpad x1 tablet เข้ามาขายหน่อยครับ (i7 ram16 ต่อ sim ได้),neu
neu,ไม่มีตัวใหม่มาแทน X280 หรือ อยากได้ RJ45 ใน X270 แต่อยากให้บางเท่า X280 ขอ X290 ทำมาเถอะ กราบ,neu
pos,ดีๆ ช่วยให้ขนส่งง่ายขึ้นเยอะเลย จอใหญ่มากก็ไม่ต้องทุบผนังห้องเพื่อให้เข้าได้แล้ว อย่างสมัยก่อน เศรษฐีไทยสั่งจอ 100-200 นิ้ว รุ่นทดสอบมาจากญี่ปุ่น ก็ต้องทุบผนังห้องนอนชั้นสอง เพื่อให้เครนยกเข้าห้องนอนได้จอม้วนได้ อารมณ์เหมือนเครื่องฉายภาพ แต่ชัดกว่าเยอะ อนาคตคงมาแทนที่ในหลายงาน,pos
pos,ดีเลย ขนย้ายสะดวกขึ้นเยอะ,pos
neu,ราคาในไทยน่าจะ 5 แสน++,neu
pos,ผมชอบตัวนี้สุดละ จัดห้องนั่งเล่นคลีน ๆ ได้เลย แต่เงินไม่มีจ่ายค่าทีวีเนี่ยสิประเด็น,pos
neu,ประเด็นนี้เป็นกับสินค้าทุกประเภทแน่นอลครัฟ,neu
neu,แสดงว่าเกี่ยวกับ HW มากกว่าหรอ ถ้าทำบน Xs / Xr ไม่ได้,neg
neu,บางทีอาจจะโดนรัฐบาลจีนห้ามไว้ เจอบ่อยมากเวลาคนมาจากจีนแล้วห้ามบันทึก หรือโพสอะไรก็ตามที่เกี่ยวกับเรื่องที่เขามาพูด ไม่งั้นอาจจะกลับจีนแล้วจะมีปัญหา,neg
neg,จีนคงใช้เจาะระบบนี้,neg
neg,ไม่ให้พูดเพราะ จะเก็บไว้hackเองแน่นอน,neg
neu,อ่าว iPhone X ในมือสั่นเลย ทำได้เฉพาะใน iPhone X แต่กับ Xs ไม่ได้,neu
neu,ไม่แน่หรอก มีคนเปิด แล้วต้องมีคนตามเป็น พรวนแน่,neu
neu,ติดปืนกลต่อต้านอากาศยานรอบสนามบินไปเลย !,neu
neu,เอา SAM ไปเลยดีกว่าครัช,neu
neu,น่าจะเป็นข่าวนี้คือใช้การแจมสัญญาณ,neu
neu,พวกเล่นโดรนนี่เขาไม่รุ้สึกผิดกันเลยเหรอครับเนี่ย,neu
neu,สงสัยว่าจับกันไม่ได้ หรือว่าเขาไม่ได้มาpost รูปอวดกันใน FB แบบของไทย ที่โดนตามง่ายๆแล้วโดนปรับหนักจนเข็ดกันไป,neg
neu,คงเพราะว่ามันโล่ง กว้าง เหมาะที่จะเล่นโดรนเพราะไม่เสี่ยงที่จะไปชนอะไรตก,neu
neu,พูดถึงว่าถ้าไม่ป้องก้ันไว้ เกิดผู้ก่อการร้ายผูกระเบิดมากับโดรนนี่ก็น่ากลัวนะ,neg
neu,เลเซอร์ที่ชอบส่องนักบินยังพอตามตัวได้ แต่พอเป็นโดรนตามตัวคนปล่อยยากมาก เว้นแต่จะเอารถโมบายมาไล่จับสัญญาณถึงจะเจอ,neu
neu,สงสัยว่าระบบป้องกันที่ว่า มันทำงานอย่างไรเหรอครับ? ปล่อยสัญญาณรบกวนไม่ให้ควบคุมโดรนได้ หรือว่าใช้แบบยิงให้ตกเลย หรือยังไงครับ?,neu
pos,ระบบที่อังกฤษจะเอามาใช้เป็นแบบรบกวนอย่างเดียวครับ มีบริษัทที่ผลิตระบบป้องกันแบบยิงให้ร่วงเหมือนกันแต่ตามข่าวคือไม่น่าจะเอามาใช้ครับ,neg
neu,ในชีวิตจริงได้หากได้ใช้ refresh rate 60 ก็พอละตาไม่กระพริบมากเท่าไหร่ แต่ถ้าจะหาแบบที่มากกว่านั้นแพง ไม่คุ้มที่จะซื้อ,neg
neu,คนที่ซื้อรุ่นที่ต้องเลือก2ค่ายไปแล้วบางคนนี่เงิบกันทีเดียว ซื้อแพงกว่าเปล่าๆเลย,pos
pos,เป็นอะไรที่คิดว่าซักวัน NVIDIA จะต้องยอมทำออกมารองรับ แต่ไม่คิดว่าจะไวขนาดนี้ แก้ไข: NVIDIA ประกาศแล้วว่าจอที่รองรับ AMD FreeSync/VESA Adaptive Sync รุ่นอื่นๆ ที่ไม่ใช่ 12 รุ่นในข่าวจะสามารถเปิดใช้งาน G-Sync ได้ด้วย แต่ต้องเปิดเอง และไม่รับประกันว่าจะใช้งานได้เท่ากับจอ 12 รุ่นที่ว่าครับ,neu
neu,nvidia จอมกั๊ก ไล่มาตั้งแต่สมัย physx,pos
neu,ซื้อมาแพงน่ะครับ (ฮา),neu
pos,ดีงาม ไม่ต้องไปซื้อจอ G-SYNC แพงๆ แล้ว,neu
neu,ในทางกลับกัน คนที่ซื้อจอ G-Sync ไปแล้ว จะเอามาใช้กับ การ์ดจอ AMD Freesync ได้ไหมครับ?,neu
neg,อนากได้นะแต่คาดว่าราคาน่าจะ 30000+,neu
neu,เกมใหม่ๆ full hd การ์ดจอ desktop ตัว top ดันให้เกิน 120 นิ่งๆยังยากเลยนะ,neu
pos,ระหว่าง 144 Hz กับ 240 Hz นี่ตาแยกออกด้วยเหรอ แต่ช่วงหลังๆ HP Omen ทำราคามาดีมาก สเปกจัดเต็ม แต่ราคาไม่แพง อย่างรุ่นที่แล้วได้ GTX 1060 มี Thunderbolt 3 จอ IPS 144 Hz ราคาประมาณ 4 หมื่นเอง,neg
pos,ภาพเคลื่อนไหวกับภาพนิ่งไม่เหมือนกันนะครับ มองนิ่งๆ อาจจะแยกไม่ออก ผมก็อยากลองเหมือนกันนะแต่ยังไม่เคยเจอจอ 200+ Hz เลย 😢 จากที่ใช้อยู่ตอนนี้ผมพบว่า 144 Hz ไม่พอเหมือนกันครับคือปกติมันลื่นกว่า 60 Hz มากแต่ไม่ใช่ตลอดเวลา แบบเวลาเล็งเป้าเคลื่อนที่พบว่ามันไม่ลื่นพอเห็นเป้าหมายวาร์ปดึ๊กดึ๊กดึ๊กเลย คงเป็นตอนที่เค้นสมองมาประมวลผลมากเกินไป หรือจริงๆ ตอนเลื่อนเมาส์ก็เห็นชัดแล้วนะครับว่า 144 Hz มันไม่ลื่น 😅,neg
neu,แปลว่า สมองของคุณกำลังถูกเทรนให้ รับรู้เร็วขึ้นเรื่อยๆครับ เพราะ คนทั่วไป อาจจะไม่สามารถแยกออกได้ในเวลาสั้นๆ (ต้องใช้เวลาเพ่งมองนานๆ บ่อยๆ ถึงจะมองเห็นการกระพริบของจอ) เพราะ เมื่อก่อนผมดูไม่ออกเลยครับ 60 144 ดูไม่ออกเลยต่างกันยังไง แต่พอ ได้ใช้ 144 สองสามเดือน เริ่มแยกได้ว่าจอ 60 มันมีกระพริบด้วย,neu
neu,"การเข้าสู่สิ่งที่ ""มากกว่าปกติ"" ไม่ใช่เรื่องดีครับ ไม่ดีต่อกระเป๋าเงิน ฮาาาาา แต่เอาจริงๆ สิ่งที่ผมแยกออกตอนนี้ไม่ใช่การกระพริบนะครับ (เพราะจอผมก็เป็น flicker-free นะ) แต่เป็นความไม่ต่อเนื่องที่แยกได้ง่ายกว่ากันมากเลยเวลาเจอภาพเคลื่อนไหว",neu
neu,แน่ใจนะครับ ว่าที่เห็นมันวาร์ปไม่ใช่เพราะมันคอขวดที่สเป็คคอมพิวเตอร์,neu
neu,อยากได้ทรูด้วย เหมือน data จาก setting จะมากกว่าแอพ iservice อยู่นิดนึง คาดว่ามือถือนับแบบไม่บีบอัดแต่ค่ายนับแบบบีบอัด,neu
neu,อ่านข่าวได้ 2 ย่อหน้า ลองทำดู อ่าว ไหงไม่มี อ่านจบ อ๋อ ..... สมแล้วที่เป็น คนไทยแปด,neu
neu,ดีนะคือจับมือ,neu
neg,แพ็คใกล้หมดเพราะเน็ตไม่เสถียร แถมต้องหมดกับฟีเจอร์ใหม่อีก,neg
neg,ผมมี package net dtac ยิบย่อยมาก พอแต่ละอันใกล้จะหมดก็ส่ง sms เตือนอยู่นั่นแหละ คือส่งจนไม่รู้ว่าเมื่อไรคือหมดแล้วจริงๆ ไม่มี pack ให้ใช้งานต่อแล้วนะ อยากให้ปรับปรุงตรงนี้ด้วยจัง,neg
pos,ได้มาก่อนประกาศนี้จะออกมาสักอาทิตย์ ยอมรับว่าสะดวกมากกดซื้อแพ็กเกจต่างๆ ได้เลยโดยตรง ไม่ต้องเข้าแอพกดรหัสวุ่นวาย แต่ส่วนสัญญาณนั้น.... (ยิ้ม),pos
neu,ผมไม่ได้ใช้ฟีเจอร์นี้แน่นอน เน็ต 16 GB แต่ละเดือนยังใช้ไม่หมด ไม่ใช่เพราะไม่ค่อยได้เล่นเน็ตนะ แต่เพราะไม่มีความเร็วให้ใช้ youtube สะดุดโคตร ๆ ตอนนี้ออกมาละ สบายใจ,neu
neu,ขัดกับนโยบายของท่านทรัมป์หรือเปล่าเนี่ย ?,neu
neu,ผมว่าต่อให้ขัด แต่ถ้า Elon ดูลู่ทางแล้วคุ้มค่า เขาก็ทำครับ,neu
neu,Elon น่าจะไม่สนใจทรัมป์ เพราะมีโรงงานอยู่ในอเมริกาอยู่แล้ว นี่แค่มาเปิดเพิ่มที่จีน เพื่อขายจีน ขณะเดียวกัน โรงงาน Tesla ใช้หุ่นยนต์เป็นหลัก น่าจะเพิ่มตำแหน่งงานได้ไม่มาก ทรัมป์ก็ไม่น่าจะสน,neg
neu,ใช่ครับเห็นด้วยตามเม้นท์บน ว่าไม่เกี่ยวกัน เพราะสินค้าที่ขายในอเมริกา ก็ผลิตในโรงงานที่อยู่ในอเมริกาอยู่แล้ว,neu
pos,รอคอยรุ่นพวงมาลัยขวา ผลิตส่งมาขายในไทย,neu
pos,เฮ้ย... คือดีอ่ะ...,pos
neu,ที่บ้านยังมาไม่ถึงเล๊ย...,neu
neg,นึกว่า 799 ได้ 200 mbps หลังๆ เน็ตบ้านโปรเงียบเป็นป่าช้าเลย,neu
neg,ซิมจาก unlimited 4Mbps กลายเป็น 10GB ขอผ่านอย่างแรง,neu
neu,ขอผ่านด้วยคนครับ ผมใช้เป็นซิมไว้แทน GPS กับโทรศัพท์เครื่องเก่าในรถ เป็นทั้ง GPS ทั้งเครื่องฟังเพลง ทั้งดูยูทูป 20GB ไม่พอจริง ๆ,neu
neg,กล่องดู youtube ไม่ได้ ลงแอปเพิ่มก็ไม่ได้ ถ้าจะดูต้องใช้กล่องอื่น ตอนนี้เก็บ playbox ลงกล่องรอครบปี แล้วใช้ Mibox ลื่นๆ,neg
neg,ผมเก็บกล่องจนมีการอัพ firmware ครั้งแรก ก็ไม่เปิดขึ้นมาอัพจนเลยเวลาอัพ เปิดมาอีกทีก็อัพไม่ได้ ใช้งานอะไรก็ไม่ค่อย ได้มาเป็นที่ทับกระดาษ จะ airplay ไรนั้นก็เหมือนจะได้แต่ไม่ได้ 55,neg
neu,วันนี้พึ่งมีอัพเดตเพิ่มเบราเซอร์เข้ามาครับดูยูทูปได้แล้ว,neu
neg,โปร Power 4 เมื่อก่อนได้ Sim เน็ต 4G Unlimit 4Mbps ไม่มีแล้วสินะ,neu
neu,10GB ตอเดือน หรือตลอด 1 ปีได้ 10 GB เนี่ย,neu
neg,อยากให้มีโปรแบบนี้แต่ให้เอาเน็ตไปเติมกับลูกค้า serenade แทนบ้าง Home plus นี่ยังกับลูกเมียน้อย -___-,neg
pos,สุดยอด ผมใช้ทั้งเนตทั้งเบอร์ของเจ้านี้,neu
pos,ทรูต้องขยับแล้วล่ะ,neg
neg,ติ่งออกนอกจอ 555,neg
neu,เป็นการคิดนอกกรอบที่แท้ทรู,neu
neg,ค่ายอื่นดูไว้ครับ... แล้วอย่าทำ 55555,neg
